,datetime,year,month,day,hour,minutes,temp,hum,rain
24,"{u'mday': u'06', u'hour': u'11', u'min': u'30', u'mon': u'08', u'pretty': u'11:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,11,30,28.0,39,0
25,"{u'mday': u'06', u'hour': u'12', u'min': u'00', u'mon': u'08', u'pretty': u'12:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,12,0,29.0,35,0
26,"{u'mday': u'06', u'hour': u'12', u'min': u'30', u'mon': u'08', u'pretty': u'12:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,12,30,29.0,33,0
27,"{u'mday': u'06', u'hour': u'13', u'min': u'00', u'mon': u'08', u'pretty': u'1:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,13,0,29.0,33,0
28,"{u'mday': u'06', u'hour': u'13', u'min': u'30', u'mon': u'08', u'pretty': u'1:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,13,30,29.0,30,0
29,"{u'mday': u'06', u'hour': u'14', u'min': u'00', u'mon': u'08', u'pretty': u'2:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,14,0,30.0,31,0
30,"{u'mday': u'06', u'hour': u'14', u'min': u'30', u'mon': u'08', u'pretty': u'2:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,14,30,30.0,31,0
31,"{u'mday': u'06', u'hour': u'15', u'min': u'00', u'mon': u'08', u'pretty': u'3:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,15,0,31.0,27,0
32,"{u'mday': u'06', u'hour': u'15', u'min': u'30', u'mon': u'08', u'pretty': u'3:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,15,30,31.0,29,0
33,"{u'mday': u'06', u'hour': u'16', u'min': u'00', u'mon': u'08', u'pretty': u'4:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,16,0,31.0,27,0
34,"{u'mday': u'06', u'hour': u'16', u'min': u'30', u'mon': u'08', u'pretty': u'4:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,16,30,32.0,26,0
35,"{u'mday': u'06', u'hour': u'17', u'min': u'00', u'mon': u'08', u'pretty': u'5:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,17,0,32.0,27,0
36,"{u'mday': u'06', u'hour': u'17', u'min': u'30', u'mon': u'08', u'pretty': u'5:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,17,30,32.0,27,0
37,"{u'mday': u'06', u'hour': u'18', u'min': u'00', u'mon': u'08', u'pretty': u'6:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,18,0,32.0,27,0
38,"{u'mday': u'06', u'hour': u'18', u'min': u'30', u'mon': u'08', u'pretty': u'6:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,18,30,32.0,27,0
39,"{u'mday': u'06', u'hour': u'19', u'min': u'00', u'mon': u'08', u'pretty': u'7:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,19,0,31.0,29,0
40,"{u'mday': u'06', u'hour': u'19', u'min': u'30', u'mon': u'08', u'pretty': u'7:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,19,30,31.0,29,0
41,"{u'mday': u'06', u'hour': u'20', u'min': u'00', u'mon': u'08', u'pretty': u'8:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,20,0,31.0,31,0
42,"{u'mday': u'06', u'hour': u'20', u'min': u'30', u'mon': u'08', u'pretty': u'8:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,20,30,30.0,31,0
43,"{u'mday': u'06', u'hour': u'21', u'min': u'00', u'mon': u'08', u'pretty': u'9:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,21,0,29.0,33,0
44,"{u'mday': u'06', u'hour': u'21', u'min': u'30', u'mon': u'08', u'pretty': u'9:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,21,30,28.0,39,0
45,"{u'mday': u'06', u'hour': u'22', u'min': u'00', u'mon': u'08', u'pretty': u'10:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,22,0,26.0,47,0
46,"{u'mday': u'06', u'hour': u'22', u'min': u'30', u'mon': u'08', u'pretty': u'10:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,22,30,23.0,57,0
47,"{u'mday': u'06', u'hour': u'23', u'min': u'00', u'mon': u'08', u'pretty': u'11:00 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,23,0,22.0,57,0
48,"{u'mday': u'06', u'hour': u'23', u'min': u'30', u'mon': u'08', u'pretty': u'11:30 PM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,23,30,21.0,60,0
0,"{u'mday': u'07', u'hour': u'00', u'min': u'00', u'mon': u'08', u'pretty': u'12:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,0,0,21.0,64,0
1,"{u'mday': u'07', u'hour': u'00', u'min': u'30', u'mon': u'08', u'pretty': u'12:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,0,30,21.0,64,0
2,"{u'mday': u'07', u'hour': u'01', u'min': u'00', u'mon': u'08', u'pretty': u'1:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,1,0,21.0,64,0
